Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0060406	GO:0060406	positive regulation of penile erection	3.876e-04	0.000e+00	6.703e+00	1.984e-07
GO:0060406	GO:0060405	regulation of penile erection	1.300e-03	0.000e+00	6.389e+00	4.082e-07
GO:0060406	GO:1901164	negative regulation of trophoblast cell migration	2.576e-04	0.000e+00	5.890e+00	1.289e-06
GO:0060406	GO:1901163	regulation of trophoblast cell migration	9.657e-03	0.000e+00	5.610e+00	2.457e-06
GO:0060406	GO:0002689	negative regulation of leukocyte chemotaxis	2.522e-04	0.000e+00	5.430e+00	3.719e-06
GO:0060406	GO:0050922	negative regulation of chemotaxis	3.552e-04	0.000e+00	4.978e+00	1.052e-05
GO:0060406	GO:0090026	positive regulation of monocyte chemotaxis	4.364e-04	0.000e+00	5.275e+00	5.314e-06
GO:0060406	GO:0090025	regulation of monocyte chemotaxis	1.928e-03	0.000e+00	5.203e+00	6.271e-06
GO:0043277	GO:0043277	apoptotic cell clearance	3.900e-04	0.000e+00	5.243e+00	5.710e-06
GO:0042167	GO:0042167	heme catabolic process	3.914e-04	0.000e+00	5.330e+00	4.673e-06
GO:0042167	GO:0046149	pigment catabolic process	3.914e-04	0.000e+00	4.802e+00	1.579e-05
GO:0042167	GO:0006787	porphyrin-containing compound catabolic process	3.914e-04	0.000e+00	4.801e+00	1.580e-05
GO:0042167	GO:0033015	tetrapyrrole catabolic process	3.914e-04	0.000e+00	4.801e+00	1.581e-05
GO:0042167	GO:0042168	heme metabolic process	3.485e-04	0.000e+00	2.745e+00	1.800e-03
GO:0042167	GO:0042440	pigment metabolic process	3.419e-03	0.000e+00	2.534e+00	2.923e-03
GO:0042167	GO:0006778	porphyrin-containing compound metabolic process	1.472e-03	0.000e+00	2.263e+00	5.457e-03
GO:0042167	GO:0033013	tetrapyrrole metabolic process	2.001e-03	0.000e+00	2.030e+00	9.335e-03
GO:0042398	GO:0042398	cellular modified amino acid biosynthetic process	3.916e-04	0.000e+00	2.295e+00	5.071e-03
GO:0042398	GO:0009396	folic acid-containing compound biosynthetic process	1.772e-02	0.000e+00	2.606e+00	2.477e-03
GO:0042117	GO:0042117	monocyte activation	3.948e-04	0.000e+00	5.839e+00	1.450e-06
GO:0042117	GO:0045576	mast cell activation	4.179e-04	0.000e+00	5.163e+00	6.866e-06
GO:0042117	GO:0001773	myeloid dendritic cell activation	2.787e-04	0.000e+00	5.278e+00	5.272e-06
GO:0042117	GO:0043011	myeloid dendritic cell differentiation	7.644e-04	0.000e+00	5.373e+00	4.238e-06
GO:0042117	GO:0043303	mast cell degranulation	4.976e-04	0.000e+00	5.625e+00	2.369e-06
GO:0042117	GO:0002279	mast cell activation involved in immune response	2.589e-03	0.000e+00	5.625e+00	2.369e-06
GO:0042117	GO:0032418	lysosome localization	2.595e-03	0.000e+00	4.938e+00	1.153e-05
GO:0042117	GO:0002576	platelet degranulation	3.678e-03	0.000e+00	5.896e+00	1.270e-06
GO:0061303	GO:0061303	cornea development in camera-type eye	4.013e-04	0.000e+00	5.863e+00	1.369e-06
GO:0032489	GO:0032489	regulation of Cdc42 protein signal transduction	4.040e-04	0.000e+00	5.803e+00	1.575e-06
GO:0032489	GO:0035025	positive regulation of Rho protein signal transduction	1.568e-03	0.000e+00	5.022e+00	9.506e-06
GO:0032489	GO:0051897	positive regulation of protein kinase B signaling	5.406e-03	0.000e+00	4.724e+00	1.890e-05
GO:0032489	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	8.327e-03	0.000e+00	4.393e+00	4.045e-05
GO:0010700	GO:0010700	negative regulation of norepinephrine secretion	4.128e-04	0.000e+00	6.850e+00	1.411e-07
GO:0010700	GO:0014061	regulation of norepinephrine secretion	7.455e-04	0.000e+00	6.350e+00	4.463e-07
GO:0010700	GO:0033602	negative regulation of dopamine secretion	1.337e-02	0.000e+00	6.469e+00	3.395e-07
GO:0010700	GO:0033604	negative regulation of catecholamine secretion	7.006e-03	0.000e+00	5.896e+00	1.270e-06
GO:0010700	GO:0051953	negative regulation of amine transport	5.733e-03	0.000e+00	5.478e+00	3.330e-06
GO:0010700	GO:0051957	positive regulation of amino acid transport	2.708e-04	0.000e+00	5.567e+00	2.708e-06
GO:0010700	GO:0051954	positive regulation of amine transport	7.841e-03	0.000e+00	5.322e+00	4.761e-06
GO:0010700	GO:0032892	positive regulation of organic acid transport	2.895e-03	0.000e+00	5.271e+00	5.363e-06
GO:0010700	GO:0032890	regulation of organic acid transport	4.719e-04	0.000e+00	4.831e+00	1.476e-05
GO:0010700	GO:0051955	regulation of amino acid transport	1.962e-03	0.000e+00	5.002e+00	9.964e-06
GO:0010700	GO:0032303	regulation of icosanoid secretion	8.971e-03	0.000e+00	5.589e+00	2.579e-06
GO:0010700	GO:1904590	negative regulation of protein import	8.475e-03	0.000e+00	5.570e+00	2.689e-06
GO:0010700	GO:1904589	regulation of protein import	1.096e-02	0.000e+00	4.874e+00	1.335e-05
GO:0006705	GO:0006705	mineralocorticoid biosynthetic process	4.277e-04	0.000e+00	6.365e+00	4.310e-07
GO:0006705	GO:0008212	mineralocorticoid metabolic process	6.181e-04	0.000e+00	6.362e+00	4.349e-07
GO:0006705	GO:0006702	androgen biosynthetic process	4.917e-04	0.000e+00	6.118e+00	7.629e-07
GO:0006705	GO:0008209	androgen metabolic process	2.515e-04	0.000e+00	5.346e+00	4.505e-06
GO:0006705	GO:0006703	estrogen biosynthetic process	4.799e-03	0.000e+00	5.327e+00	4.715e-06
GO:2000257	GO:2000257	regulation of protein activation cascade	4.282e-04	0.000e+00	5.831e+00	1.476e-06
GO:2000257	GO:2000258	negative regulation of protein activation cascade	6.107e-03	0.000e+00	8.419e+00	3.815e-09
GO:0071494	GO:0071494	cellular response to UV-C	4.499e-04	0.000e+00	5.967e+00	1.080e-06
GO:0071494	GO:0071492	cellular response to UV-A	1.959e-03	0.000e+00	5.597e+00	2.529e-06
GO:0071494	GO:0070141	response to UV-A	8.611e-03	0.000e+00	5.460e+00	3.467e-06
GO:0071494	GO:0016056	rhodopsin mediated signaling pathway	1.522e-02	0.000e+00	6.149e+00	7.095e-07
GO:0071494	GO:0071260	cellular response to mechanical stimulus	3.181e-04	0.000e+00	4.998e+00	1.004e-05
GO:0071494	GO:0009612	response to mechanical stimulus	1.745e-02	0.000e+00	4.461e+00	3.457e-05
GO:0071494	GO:0050974	detection of mechanical stimulus involved in sensory perception	7.323e-03	0.000e+00	5.058e+00	8.758e-06
GO:0071494	GO:0009408	response to heat	2.731e-03	0.000e+00	3.188e+00	6.487e-04
GO:0071494	GO:0034605	cellular response to heat	1.290e-02	0.000e+00	3.721e+00	1.902e-04
GO:0071494	GO:0009629	response to gravity	8.872e-03	0.000e+00	4.692e+00	2.032e-05
GO:0071494	GO:0070417	cellular response to cold	1.372e-02	0.000e+00	4.493e+00	3.214e-05
GO:0071494	GO:0010165	response to X-ray	1.036e-02	0.000e+00	5.066e+00	8.594e-06
GO:0071494	GO:0071480	cellular response to gamma radiation	7.552e-03	0.000e+00	5.099e+00	7.969e-06
GO:0071494	GO:0071481	cellular response to X-ray	1.041e-02	0.000e+00	5.624e+00	2.376e-06
GO:0021854	GO:0021854	hypothalamus development	4.700e-04	0.000e+00	5.519e+00	3.025e-06
GO:1990874	GO:1990874	vascular associated smooth muscle cell proliferation	4.718e-04	0.000e+00	7.941e+00	1.144e-08
GO:1990874	GO:0048659	smooth muscle cell proliferation	1.278e-02	0.000e+00	6.055e+00	8.812e-07
GO:1990874	GO:0014856	skeletal muscle cell proliferation	2.116e-03	0.000e+00	6.686e+00	2.060e-07
GO:1990874	GO:0014841	skeletal muscle satellite cell proliferation	1.482e-02	0.000e+00	6.694e+00	2.022e-07
GO:0021562	GO:0021562	vestibulocochlear nerve development	4.982e-04	0.000e+00	6.272e+00	5.340e-07
GO:0021562	GO:0021559	trigeminal nerve development	6.457e-03	0.000e+00	5.879e+00	1.320e-06
GO:0021562	GO:0021553	olfactory nerve development	1.818e-03	0.000e+00	6.619e+00	2.403e-07
GO:0010804	GO:0010804	negative regulation of tumor necrosis factor-mediated signaling pathway	5.125e-04	0.000e+00	5.477e+00	3.338e-06
GO:0010804	GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	4.898e-03	0.000e+00	5.107e+00	7.812e-06
GO:0010804	GO:0060760	positive regulation of response to cytokine stimulus	1.370e-03	0.000e+00	4.909e+00	1.232e-05
GO:0010804	GO:0001961	positive regulation of cytokine-mediated signaling pathway	7.363e-03	0.000e+00	4.978e+00	1.053e-05
GO:0010804	GO:1903972	regulation of cellular response to macrophage colony-stimulating factor stimulus	1.310e-03	0.000e+00	6.010e+00	9.765e-07
GO:0010804	GO:1903969	regulation of response to macrophage colony-stimulating factor	1.310e-03	0.000e+00	6.010e+00	9.765e-07
GO:0010804	GO:0060759	regulation of response to cytokine stimulus	7.701e-03	0.000e+00	3.275e+00	5.313e-04
GO:0010804	GO:0070099	regulation of chemokine-mediated signaling pathway	1.009e-02	0.000e+00	5.815e+00	1.530e-06
GO:0010804	GO:0001959	regulation of cytokine-mediated signaling pathway	1.108e-02	0.000e+00	3.277e+00	5.283e-04
GO:1903944	GO:1903943	regulation of hepatocyte apoptotic process	5.317e-04	0.000e+00	7.272e+00	5.340e-08
GO:1903944	GO:1903944	negative regulation of hepatocyte apoptotic process	5.317e-04	0.000e+00	7.339e+00	4.577e-08
GO:1903944	GO:1904036	negative regulation of epithelial cell apoptotic process	1.130e-03	0.000e+00	5.122e+00	7.553e-06
GO:1903944	GO:2000352	negative regulation of endothelial cell apoptotic process	6.455e-04	0.000e+00	5.236e+00	5.813e-06
GO:1903944	GO:2000351	regulation of endothelial cell apoptotic process	2.282e-03	0.000e+00	5.032e+00	9.288e-06
GO:1903944	GO:1904035	regulation of epithelial cell apoptotic process	5.101e-03	0.000e+00	4.886e+00	1.300e-05
GO:0035608	GO:0035608	protein deglutamylation	5.326e-04	0.000e+00	5.535e+00	2.914e-06
GO:0035608	GO:0035610	protein side chain deglutamylation	1.257e-02	0.000e+00	5.868e+00	1.354e-06
GO:0035608	GO:0018200	peptidyl-glutamic acid modification	1.584e-02	0.000e+00	4.362e+00	4.341e-05
GO:0035608	GO:0035609	C-terminal protein deglutamylation	1.753e-02	0.000e+00	6.126e+00	7.477e-07
GO:0032383	GO:0032380	regulation of intracellular sterol transport	5.351e-04	0.000e+00	5.657e+00	2.201e-06
GO:0032383	GO:0032383	regulation of intracellular cholesterol transport	5.351e-04	0.000e+00	5.657e+00	2.201e-06
GO:0032383	GO:0032377	regulation of intracellular lipid transport	5.351e-04	0.000e+00	5.642e+00	2.281e-06
GO:0032383	GO:0032376	positive regulation of cholesterol transport	1.030e-02	0.000e+00	5.178e+00	6.645e-06
GO:0032383	GO:1905954	positive regulation of lipid localization	9.326e-04	0.000e+00	4.652e+00	2.226e-05
GO:0032383	GO:0032370	positive regulation of lipid transport	3.156e-03	0.000e+00	4.787e+00	1.633e-05
GO:0032383	GO:1905952	regulation of lipid localization	6.549e-03	0.000e+00	4.403e+00	3.955e-05
GO:0032383	GO:0010875	positive regulation of cholesterol efflux	1.264e-02	0.000e+00	5.347e+00	4.501e-06
GO:0032383	GO:0032373	positive regulation of sterol transport	1.030e-02	0.000e+00	5.178e+00	6.645e-06
GO:0032383	GO:0002036	regulation of L-glutamate import across plasma membrane	2.478e-03	0.000e+00	6.092e+00	8.087e-07
GO:0032383	GO:2000191	regulation of fatty acid transport	3.585e-03	0.000e+00	5.211e+00	6.153e-06
GO:0032109	GO:0032106	positive regulation of response to extracellular stimulus	5.620e-04	0.000e+00	5.288e+00	5.153e-06
GO:0032109	GO:0032109	positive regulation of response to nutrient levels	5.620e-04	0.000e+00	5.300e+00	5.012e-06
GO:0032109	GO:0032107	regulation of response to nutrient levels	2.407e-03	0.000e+00	4.842e+00	1.439e-05
GO:0032109	GO:0032108	negative regulation of response to nutrient levels	1.614e-03	0.000e+00	5.159e+00	6.939e-06
GO:0032109	GO:0032096	negative regulation of response to food	4.615e-03	0.000e+00	5.168e+00	6.786e-06
GO:0032109	GO:0032095	regulation of response to food	4.714e-03	0.000e+00	5.098e+00	7.980e-06
GO:0032109	GO:0070562	regulation of vitamin D receptor signaling pathway	1.061e-02	0.000e+00	5.962e+00	1.091e-06
GO:0032109	GO:0032105	negative regulation of response to extracellular stimulus	1.614e-03	0.000e+00	4.875e+00	1.334e-05
GO:0032109	GO:0032104	regulation of response to extracellular stimulus	2.407e-03	0.000e+00	4.679e+00	2.093e-05
GO:0000038	GO:0000038	very long-chain fatty acid metabolic process	5.634e-04	0.000e+00	4.423e+00	3.775e-05
GO:0000038	GO:0042761	very long-chain fatty acid biosynthetic process	4.767e-03	0.000e+00	4.575e+00	2.658e-05
GO:0000038	GO:0009062	fatty acid catabolic process	1.068e-03	0.000e+00	3.306e+00	4.947e-04
GO:0000038	GO:0072329	monocarboxylic acid catabolic process	9.076e-04	0.000e+00	2.875e+00	1.335e-03
GO:0000038	GO:0006635	fatty acid beta-oxidation	3.303e-03	0.000e+00	3.455e+00	3.510e-04
GO:0000038	GO:0044242	cellular lipid catabolic process	2.688e-03	0.000e+00	3.149e+00	7.091e-04
GO:0045964	GO:0045915	positive regulation of catecholamine metabolic process	5.651e-04	0.000e+00	6.126e+00	7.477e-07
GO:0045964	GO:0045964	positive regulation of dopamine metabolic process	5.651e-04	0.000e+00	6.126e+00	7.477e-07
GO:0045964	GO:0033240	positive regulation of cellular amine metabolic process	2.467e-03	0.000e+00	5.662e+00	2.178e-06
GO:0045964	GO:0042053	regulation of dopamine metabolic process	1.737e-03	0.000e+00	5.615e+00	2.426e-06
GO:0045964	GO:0042069	regulation of catecholamine metabolic process	1.737e-03	0.000e+00	5.604e+00	2.491e-06
GO:0050748	GO:0050748	negative regulation of lipoprotein metabolic process	5.819e-04	0.000e+00	5.556e+00	2.781e-06
GO:0050748	GO:0050746	regulation of lipoprotein metabolic process	1.697e-02	0.000e+00	5.346e+00	4.513e-06
GO:0050748	GO:1905049	negative regulation of metallopeptidase activity	1.413e-03	0.000e+00	5.328e+00	4.696e-06
GO:0050748	GO:2000116	regulation of cysteine-type endopeptidase activity	1.070e-02	0.000e+00	4.226e+00	5.945e-05
GO:0018401	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	5.978e-04	0.000e+00	5.262e+00	5.474e-06
GO:0018401	GO:0019511	peptidyl-proline hydroxylation	1.981e-03	0.000e+00	4.350e+00	4.467e-05
GO:0098700	GO:0098700	neurotransmitter loading into synaptic vesicle	6.059e-04	0.000e+00	5.767e+00	1.709e-06
GO:0098700	GO:0098810	neurotransmitter reuptake	1.057e-02	0.000e+00	5.386e+00	4.116e-06
GO:0021521	GO:0021521	ventral spinal cord interneuron specification	6.179e-04	0.000e+00	5.839e+00	1.450e-06
GO:0021521	GO:0060573	cell fate specification involved in pattern specification	6.179e-04	0.000e+00	5.693e+00	2.029e-06
GO:0032020	GO:0032020	ISG15-protein conjugation	6.703e-04	0.000e+00	5.746e+00	1.797e-06
GO:0071267	GO:0043102	amino acid salvage	6.752e-04	0.000e+00	3.259e+00	5.511e-04
GO:0071267	GO:0071267	L-methionine salvage	6.752e-04	0.000e+00	3.259e+00	5.511e-04
GO:0071267	GO:0071265	L-methionine biosynthetic process	6.752e-04	0.000e+00	3.107e+00	7.819e-04
GO:0071267	GO:0019509	L-methionine salvage from methylthioadenosine	4.813e-03	0.000e+00	3.425e+00	3.762e-04
GO:0071267	GO:0006166	purine ribonucleoside salvage	6.757e-04	0.000e+00	3.281e+00	5.237e-04
GO:0071267	GO:0043101	purine-containing compound salvage	1.040e-02	0.000e+00	2.896e+00	1.270e-03
GO:0071267	GO:0046498	S-adenosylhomocysteine metabolic process	1.626e-02	0.000e+00	6.044e+00	9.041e-07
GO:0071267	GO:0070813	hydrogen sulfide metabolic process	2.326e-03	0.000e+00	3.505e+00	3.124e-04
GO:0071267	GO:0009086	methionine biosynthetic process	1.875e-02	0.000e+00	2.621e+00	2.396e-03
GO:0048546	GO:0048546	digestive tract morphogenesis	6.820e-04	0.000e+00	5.278e+00	5.276e-06
GO:0048546	GO:0048844	artery morphogenesis	9.901e-04	0.000e+00	4.800e+00	1.584e-05
GO:0048546	GO:0060977	coronary vasculature morphogenesis	7.201e-04	0.000e+00	5.709e+00	1.953e-06
GO:0048546	GO:0035909	aorta morphogenesis	4.714e-03	0.000e+00	5.282e+00	5.218e-06
GO:0048546	GO:0048845	venous blood vessel morphogenesis	4.612e-03	0.000e+00	5.608e+00	2.464e-06
GO:0048546	GO:0061626	pharyngeal arch artery morphogenesis	2.511e-03	0.000e+00	5.787e+00	1.633e-06
GO:0048546	GO:0061156	pulmonary artery morphogenesis	7.836e-03	0.000e+00	5.920e+00	1.202e-06
GO:0070206	GO:0070206	protein trimerization	6.966e-04	0.000e+00	4.448e+00	3.568e-05
GO:0070206	GO:0070207	protein homotrimerization	5.635e-03	0.000e+00	5.539e+00	2.891e-06
GO:0070206	GO:0007021	tubulin complex assembly	8.934e-03	0.000e+00	4.469e+00	3.399e-05
GO:0050810	GO:0050810	regulation of steroid biosynthetic process	7.033e-04	0.000e+00	4.805e+00	1.567e-05
GO:0050810	GO:0019218	regulation of steroid metabolic process	9.063e-04	0.000e+00	4.655e+00	2.214e-05
GO:0050810	GO:0070857	regulation of bile acid biosynthetic process	3.710e-03	0.000e+00	5.653e+00	2.224e-06
GO:0050810	GO:0010872	regulation of cholesterol esterification	8.638e-03	0.000e+00	5.611e+00	2.449e-06
GO:0050810	GO:0045940	positive regulation of steroid metabolic process	3.555e-03	0.000e+00	5.243e+00	5.710e-06
GO:0050810	GO:0010873	positive regulation of cholesterol esterification	1.181e-02	0.000e+00	5.768e+00	1.705e-06
GO:0050810	GO:0090031	positive regulation of steroid hormone biosynthetic process	1.859e-03	0.000e+00	6.035e+00	9.231e-07
GO:0050810	GO:0090030	regulation of steroid hormone biosynthetic process	6.140e-03	0.000e+00	5.523e+00	2.998e-06
GO:0050810	GO:0032347	regulation of aldosterone biosynthetic process	8.606e-03	0.000e+00	5.913e+00	1.221e-06
GO:0050810	GO:0032344	regulation of aldosterone metabolic process	8.606e-03	0.000e+00	5.908e+00	1.236e-06
GO:0090239	GO:0090239	regulation of histone H4 acetylation	7.057e-04	0.000e+00	5.487e+00	3.258e-06
GO:0090239	GO:0090240	positive regulation of histone H4 acetylation	1.251e-02	0.000e+00	5.947e+00	1.129e-06
GO:0032275	GO:0032275	luteinizing hormone secretion	7.066e-04	0.000e+00	6.173e+00	6.714e-07
GO:0032275	GO:0032274	gonadotropin secretion	3.171e-03	0.000e+00	5.913e+00	1.221e-06
GO:0032275	GO:0061355	Wnt protein secretion	1.447e-03	0.000e+00	6.000e+00	9.994e-07
GO:0032275	GO:0060986	endocrine hormone secretion	7.877e-03	0.000e+00	5.604e+00	2.487e-06
GO:0030432	GO:0014821	phasic smooth muscle contraction	4.267e-04	0.000e+00	5.459e+00	3.479e-06
GO:0030432	GO:0030432	peristalsis	7.503e-04	0.000e+00	5.714e+00	1.934e-06
GO:0030432	GO:0014829	vascular associated smooth muscle contraction	9.248e-03	0.000e+00	5.470e+00	3.391e-06
GO:0030432	GO:0014889	muscle atrophy	9.360e-04	0.000e+00	5.790e+00	1.621e-06
GO:0030432	GO:0014891	striated muscle atrophy	1.880e-03	0.000e+00	5.941e+00	1.144e-06
GO:0036446	GO:0036446	myofibroblast differentiation	7.515e-04	0.000e+00	7.214e+00	6.103e-08
GO:0060253	GO:0060253	negative regulation of glial cell proliferation	7.548e-04	0.000e+00	5.866e+00	1.362e-06
GO:0060253	GO:0060251	regulation of glial cell proliferation	4.946e-03	0.000e+00	5.437e+00	3.654e-06
GO:0060253	GO:0010624	regulation of Schwann cell proliferation	1.242e-03	0.000e+00	6.269e+00	5.379e-07
GO:0060253	GO:0060252	positive regulation of glial cell proliferation	3.893e-03	0.000e+00	5.653e+00	2.224e-06
GO:0035927	GO:0035927	RNA import into mitochondrion	7.776e-04	0.000e+00	5.848e+00	1.419e-06
GO:0035927	GO:0045040	protein insertion into mitochondrial outer membrane	1.635e-02	0.000e+00	4.601e+00	2.507e-05
GO:0035927	GO:0051029	rRNA transport	4.273e-03	0.000e+00	5.297e+00	5.043e-06
GO:0035927	GO:0000056	ribosomal small subunit export from nucleus	2.658e-03	0.000e+00	4.732e+00	1.855e-05
GO:0035927	GO:0000054	ribosomal subunit export from nucleus	1.097e-02	0.000e+00	4.135e+00	7.337e-05
GO:0043392	GO:0043392	negative regulation of DNA binding	7.809e-04	0.000e+00	4.935e+00	1.162e-05
GO:0043392	GO:2000678	negative regulation of transcription regulatory region DNA binding	2.385e-03	0.000e+00	5.333e+00	4.642e-06
GO:0043392	GO:0035563	positive regulation of chromatin binding	2.132e-03	0.000e+00	5.728e+00	1.869e-06
GO:0043392	GO:1900122	positive regulation of receptor binding	2.912e-03	0.000e+00	5.635e+00	2.315e-06
GO:0009597	GO:0009597	detection of virus	8.188e-04	0.000e+00	5.890e+00	1.289e-06
GO:0009597	GO:0098586	cellular response to virus	3.286e-03	0.000e+00	4.715e+00	1.926e-05
GO:0030206	GO:0030206	chondroitin sulfate biosynthetic process	8.245e-04	0.000e+00	5.138e+00	7.278e-06
GO:0030206	GO:0030204	chondroitin sulfate metabolic process	8.683e-03	0.000e+00	5.013e+00	9.700e-06
GO:0030206	GO:0019800	peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan	4.491e-03	0.000e+00	5.890e+00	1.289e-06
GO:0030206	GO:0030208	dermatan sulfate biosynthetic process	1.027e-02	0.000e+00	6.393e+00	4.043e-07
GO:0070278	GO:0070278	extracellular matrix constituent secretion	8.482e-04	0.000e+00	6.037e+00	9.193e-07
GO:0060395	GO:0060395	SMAD protein signal transduction	8.918e-04	0.000e+00	4.874e+00	1.337e-05
GO:1901687	GO:1901685	glutathione derivative metabolic process	9.316e-04	0.000e+00	6.410e+00	3.891e-07
GO:1901687	GO:1901687	glutathione derivative biosynthetic process	9.316e-04	0.000e+00	6.414e+00	3.853e-07
GO:0071600	GO:0071600	otic vesicle morphogenesis	9.327e-04	0.000e+00	5.820e+00	1.514e-06
GO:0071600	GO:0061333	renal tubule morphogenesis	5.466e-04	0.000e+00	5.349e+00	4.482e-06
GO:0071600	GO:0072078	nephron tubule morphogenesis	1.364e-03	0.000e+00	5.568e+00	2.705e-06
GO:0071600	GO:0072282	metanephric nephron tubule morphogenesis	4.868e-04	0.000e+00	6.154e+00	7.019e-07
GO:0071600	GO:0072173	metanephric tubule morphogenesis	1.164e-03	0.000e+00	6.142e+00	7.210e-07
GO:0071600	GO:0072088	nephron epithelium morphogenesis	2.515e-03	0.000e+00	5.568e+00	2.705e-06
GO:0071600	GO:0060675	ureteric bud morphogenesis	6.020e-04	0.000e+00	6.305e+00	4.959e-07
GO:0071600	GO:0072171	mesonephric tubule morphogenesis	6.020e-04	0.000e+00	5.912e+00	1.224e-06
GO:0060839	GO:0060839	endothelial cell fate commitment	9.488e-04	0.000e+00	6.092e+00	8.087e-07
GO:0060839	GO:0045165	cell fate commitment	3.638e-03	0.000e+00	4.198e+00	6.340e-05
GO:0060839	GO:0072540	T-helper 17 cell lineage commitment	5.639e-04	0.000e+00	5.493e+00	3.216e-06
GO:0060839	GO:0002295	T-helper cell lineage commitment	3.968e-03	0.000e+00	5.451e+00	3.540e-06
GO:0060839	GO:0055059	asymmetric neuroblast division	5.802e-03	0.000e+00	5.691e+00	2.037e-06
GO:0060839	GO:0055057	neuroblast division	9.949e-03	0.000e+00	5.445e+00	3.590e-06
GO:0060839	GO:0001710	mesodermal cell fate commitment	4.671e-03	0.000e+00	5.917e+00	1.209e-06
GO:0060839	GO:0002363	alpha-beta T cell lineage commitment	5.097e-03	0.000e+00	5.328e+00	4.700e-06
GO:0015705	GO:0015705	iodide transport	9.602e-04	0.000e+00	5.923e+00	1.194e-06
GO:0007263	GO:0007263	nitric oxide mediated signal transduction	9.795e-04	0.000e+00	5.655e+00	2.212e-06
GO:0007263	GO:0019934	cGMP-mediated signaling	1.937e-03	0.000e+00	5.480e+00	3.315e-06
GO:1902932	GO:1902932	positive regulation of alcohol biosynthetic process	9.849e-04	0.000e+00	5.410e+00	3.887e-06
GO:1902932	GO:0060732	positive regulation of inositol phosphate biosynthetic process	1.939e-02	0.000e+00	5.712e+00	1.942e-06
GO:1902932	GO:0090205	positive regulation of cholesterol metabolic process	1.110e-03	0.000e+00	5.947e+00	1.129e-06
GO:1902932	GO:0090181	regulation of cholesterol metabolic process	6.817e-03	0.000e+00	5.251e+00	5.615e-06
GO:0046596	GO:0046596	regulation of viral entry into host cell	9.897e-04	0.000e+00	5.192e+00	6.420e-06
GO:0046596	GO:0046597	negative regulation of viral entry into host cell	2.778e-03	0.000e+00	5.504e+00	3.136e-06
GO:0046596	GO:2000535	regulation of entry of bacterium into host cell	3.692e-03	0.000e+00	5.854e+00	1.400e-06
GO:0046596	GO:0046598	positive regulation of viral entry into host cell	4.296e-03	0.000e+00	5.742e+00	1.812e-06
GO:0046596	GO:0050434	positive regulation of viral transcription	4.469e-03	0.000e+00	4.023e+00	9.491e-05
GO:0045683	GO:0045683	negative regulation of epidermis development	9.904e-04	0.000e+00	5.643e+00	2.277e-06
GO:0045683	GO:0045605	negative regulation of epidermal cell differentiation	1.609e-02	0.000e+00	5.643e+00	2.277e-06
GO:0045683	GO:0045607	regulation of inner ear auditory receptor cell differentiation	1.825e-03	0.000e+00	5.814e+00	1.533e-06
GO:0045683	GO:0045631	regulation of mechanoreceptor differentiation	1.825e-03	0.000e+00	5.692e+00	2.033e-06
GO:0045683	GO:2000980	regulation of inner ear receptor cell differentiation	1.825e-03	0.000e+00	5.692e+00	2.033e-06
GO:0070358	GO:0070358	actin polymerization-dependent cell motility	9.938e-04	0.000e+00	6.231e+00	5.874e-07
GO:0071280	GO:0071280	cellular response to copper ion	1.006e-03	0.000e+00	5.612e+00	2.441e-06
GO:0071280	GO:0046688	response to copper ion	3.395e-03	0.000e+00	4.139e+00	7.266e-05
GO:0071280	GO:0071294	cellular response to zinc ion	1.208e-03	0.000e+00	5.600e+00	2.510e-06
GO:0071280	GO:0010043	response to zinc ion	4.230e-03	0.000e+00	5.148e+00	7.107e-06
GO:0071280	GO:0035865	cellular response to potassium ion	4.140e-03	0.000e+00	5.883e+00	1.308e-06
GO:0071280	GO:0071285	cellular response to lithium ion	4.699e-03	0.000e+00	5.670e+00	2.140e-06
GO:0010890	GO:0010890	positive regulation of sequestering of triglyceride	1.030e-03	0.000e+00	5.750e+00	1.778e-06
GO:0010890	GO:0010889	regulation of sequestering of triglyceride	2.617e-03	0.000e+00	5.451e+00	3.544e-06
GO:0010890	GO:0010884	positive regulation of lipid storage	1.710e-03	0.000e+00	5.230e+00	5.894e-06
GO:0010890	GO:0010887	negative regulation of cholesterol storage	1.201e-03	0.000e+00	5.850e+00	1.411e-06
GO:0010890	GO:0010885	regulation of cholesterol storage	8.909e-04	0.000e+00	5.543e+00	2.865e-06
GO:0010890	GO:0010883	regulation of lipid storage	3.269e-03	0.000e+00	4.901e+00	1.256e-05
GO:0034382	GO:0034382	chylomicron remnant clearance	1.049e-03	0.000e+00	6.017e+00	9.613e-07
GO:0034382	GO:0071830	triglyceride-rich lipoprotein particle clearance	1.049e-03	0.000e+00	5.738e+00	1.827e-06
GO:0034382	GO:0034381	plasma lipoprotein particle clearance	1.771e-03	0.000e+00	5.165e+00	6.840e-06
GO:0034382	GO:0034383	low-density lipoprotein particle clearance	1.330e-02	0.000e+00	5.632e+00	2.335e-06
GO:0034382	GO:0034384	high-density lipoprotein particle clearance	4.717e-03	0.000e+00	5.959e+00	1.099e-06
